registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
0,0,exclude,title looks like BGM/instrumental,わたしだけのPromise(Instrumental),Sennzai,セレクトオブリージュ ボーカルアルバム,,Pop,231,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/10 わたしだけのPromise(Instrumental).m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\10 わたしだけのPromise(Instrumental).m4a,.m4a,8075500
1,0,include,tagged vocal/music candidate,未来ノスタルジア,橋本みゆき,パープルソフトウェアソングコレクション2,Various Artists,アニメ,286,/mnt/d/yu28s/Music/Compilations/パープルソフトウェアソングコレクション2/16 未来ノスタルジア.m4a,D:\yu28s\Music\Compilations\パープルソフトウェアソングコレクション2\16 未来ノスタルジア.m4a,.m4a,10397175
1,0,include,tagged vocal/music candidate,未来図,浅葉リオ,パープルソフトウェアソングコレクション2,Various Artists,アニメ,319,/mnt/d/yu28s/Music/Compilations/パープルソフトウェアソングコレクション2/17 未来図.m4a,D:\yu28s\Music\Compilations\パープルソフトウェアソングコレクション2\17 未来図.m4a,.m4a,11618911
1,0,include,tagged vocal/music candidate,二人だけのカーテンコール,浅葉リオ,パープルソフトウェアソングコレクション3,"橋本みゆき, 浅葉リオ, 山崎もえ & 柚原みう",アニメ,333,/mnt/d/yu28s/Music/Compilations/パープルソフトウェアソングコレクション3/07 二人だけのカーテンコール.m4a,D:\yu28s\Music\Compilations\パープルソフトウェアソングコレクション3\07 二人だけのカーテンコール.m4a,.m4a,11914917
1,0,include,tagged vocal/music candidate,i:\DRIVE,橋本みゆき,紫盤 2024,,Pop,264,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-01 i__DRIVE.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-01 i__DRIVE.m4a,.m4a,8779373
1,0,include,tagged vocal/music candidate,虚実の欠片,浅葉リオ,紫盤 2024,,Pop,280,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-02 虚実の欠片.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-02 虚実の欠片.m4a,.m4a,9362872
1,0,include,tagged vocal/music candidate,雛鳥の子守歌,柚原みう,紫盤 2024,,Pop,311,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-03 雛鳥の子守歌.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-03 雛鳥の子守歌.m4a,.m4a,10427883
1,0,include,tagged vocal/music candidate,青春フラジャイル,橋本みゆき,紫盤 2024,,Pop,228,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-04 青春フラジャイル.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-04 青春フラジャイル.m4a,.m4a,7569506
1,0,include,tagged vocal/music candidate,告白の詠唱,浅葉リオ,紫盤 2024,,Pop,237,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-05 告白の詠唱.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-05 告白の詠唱.m4a,.m4a,7731473
1,0,include,tagged vocal/music candidate,桜花千爛,橋本みゆき,紫盤 2024,,Pop,267,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-06 桜花千爛.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-06 桜花千爛.m4a,.m4a,9154440
