registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
0,1,include,tagged vocal/music candidate,morning dew,松本慎一郎,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,178,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/03 morning dew.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\03 morning dew.m4a,.m4a,2814341
0,1,include,tagged vocal/music candidate,Ordinary Day,樋口秀樹,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,112,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/04 Ordinary Day.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\04 Ordinary Day.m4a,.m4a,1781741
0,1,include,tagged vocal/music candidate,凸凹フレンズ,Arte Refact,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,149,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/05 凸凹フレンズ.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\05 凸凹フレンズ.m4a,.m4a,2406291
0,1,include,tagged vocal/music candidate,落ち葉の散歩道,Arte Refact,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,163,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/06 落ち葉の散歩道.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\06 落ち葉の散歩道.m4a,.m4a,2633725
0,1,include,tagged vocal/music candidate,上善如水,松本慎一郎,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,211,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/07 上善如水.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\07 上善如水.m4a,.m4a,3341900
0,1,include,tagged vocal/music candidate,夕影,松本慎一郎,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,167,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/08 夕影.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\08 夕影.m4a,.m4a,2724726
0,1,include,tagged vocal/music candidate,君と二人で,樋口秀樹,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,193,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/09 君と二人で.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\09 君と二人で.m4a,.m4a,3057744
0,1,include,tagged vocal/music candidate,passion subliminal,Arte Refact,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,151,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/10 passion subliminal.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\10 passion subliminal.m4a,.m4a,2444026
0,1,include,tagged vocal/music candidate,lose my memory,Arte Refact,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,175,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/11 lose my memory.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\11 lose my memory.m4a,.m4a,2788496
0,1,include,tagged vocal/music candidate,闇の安らぎ,水月陵,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,271,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/12 闇の安らぎ.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\12 闇の安らぎ.m4a,.m4a,4343102
0,1,include,tagged vocal/music candidate,暗澹,Arte Refact,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,161,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/13 暗澹.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\13 暗澹.m4a,.m4a,2611241
0,1,include,tagged vocal/music candidate,Silence Passion,樋口秀樹,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,170,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/14 Silence Passion.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\14 Silence Passion.m4a,.m4a,2659865
0,1,include,tagged vocal/music candidate,fortune,水月陵,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,245,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/15 fortune.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\15 fortune.m4a,.m4a,3961141
0,1,include,tagged vocal/music candidate,Orohora,樋口秀樹,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,139,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/16 Orohora.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\16 Orohora.m4a,.m4a,2179449
0,1,include,tagged vocal/music candidate,Golden Route (インスト),Duca,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,271,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/17 Golden Route (インスト).m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\17 Golden Route (インスト).m4a,.m4a,4320160
0,1,include,tagged vocal/music candidate,・・・すぐ来てね (インスト),美優那,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,249,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/19 ・・・すぐ来てね (インスト).m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\19 ・・・すぐ来てね (インスト).m4a,.m4a,4000739
0,1,include,tagged vocal/music candidate,Golden Mission -Symphonic Baliar- (インスト),佐咲紗花,金色ラブリッチェ GOLD BEST [Disc3],,Soundtrack,244,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc3]/02 Golden Mission -Symphonic Baliar-.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc3]\02 Golden Mission -Symphonic Baliar-.m4a,.m4a,3963440
0,1,include,tagged vocal/music candidate,愛のカタチ,松本慎一郎,金色ラブリッチェ GOLD BEST [Disc3],,Soundtrack,168,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc3]/03 愛のカタチ.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc3]\03 愛のカタチ.m4a,.m4a,2667446
