君の知らない物語	supercell	/mnt/d/yu28s/Music/music_centor/supercell/君の知らない物語/01-君の知らない物語.mp4	341
SWORD SUMMIT	T.M.Revolution	/mnt/d/yu28s/Music/music_centor/T.M.Revolution/Naked arms _ SWORD SUMMIT/1-02 SWORD SUMMIT.mp4	236
Ash Like Snow	the brilliant green	/mnt/d/yu28s/Music/music_centor/the brilliant green/Ash Like Snow/1-01 Ash Like Snow.mp4	272
キミのとなり	tohko	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-07 キミのとなり.mp3	331
Free Turn	TrySail	/mnt/d/yu28s/Music/TrySail/Free Turn/01-Free Turn.mp4	260
Phantom Joke	UNISON SQUARE GARDEN	/mnt/d/yu28s/Music/music_centor/UNISON SQUARE GARDEN/Phantom Joke/1-01 Phantom Joke.mp4	244
輪廻	V.W.P	/mnt/d/yu28s/Music/music_centor/V.W.P/輪廻/01-輪廻.mp4	244
Soundtracks Special Medley [Live]	Various Artists	/mnt/d/yu28s/Music/music_centor/Compilations/Vivy -Fluorite Eye's Song- Live Event ～S/2-03 Soundtracks Special Medley [Liv.m4a	633
うまぴょい伝説	Various Artists	/mnt/d/yu28s/Music/music_centor/Various Artists/『ウマ娘 プリティーダービー』WINNING LIVE 01/05-うまぴょい伝説.mp4	270
I wish	WHITE-LIPS	/mnt/d/yu28s/Music/music_centor/Compilations/カルマルカサークル コンプリートオリジナルサウンドトラック2/2-12 I wish.mp3	346
slash	yama	/mnt/d/yu28s/Music/music_centor/yama/slash/01-slash.mp4	240
UNDEAD	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/UNDEAD/01-UNDEAD.mp4	183
勇者	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/THE BOOK 3/01-勇者.mp4	194
祝福	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/祝福/01-祝福.flac	196
ダ・カーポIII～キミにささげる　あいのマホウ～	yozuca*	/mnt/d/yu28s/Music/music_centor/Compilations/EGG-Extra Games Garden- anthology 2015/02 ダ・カーポIII～キミにささげる　あいのマホウ～.mp3	303
Dance In The Game	ZAQ	/mnt/d/yu28s/Music/music_centor/ZAQ/Dance In The Game/01-Dance In The Game.mp4	209
あした世界が終わるとしても	あいみょん	/mnt/d/yu28s/Music/music_centor/あいみょん/瞬間的シックスセンス/1-10 あした世界が終わるとしても.mp4	263
アマデウス	いとうかなこ	/mnt/d/yu28s/Music/いとうかなこ/アマデウス(ゲーム「STEINS_GATE 0」OPテーマ)/01-アマデウス.mp4	238
花の塔	さユり	/mnt/d/yu28s/Music/music_centor/さユり/花の塔/01-花の塔.mp4	276
DeaR YoU	せいんと☆ぴーち	/mnt/d/yu28s/Music/music_centor/Compilations/Re_LieF ～DeaR YoU～ OriginaL SounD TracK/2-18 DeaR YoU.m4a	281
足りないハートビート	みなみまい from i.o.sound	/mnt/d/yu28s/Music/Downloads/4198300_0_1.flac	232
クライングハート(アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン)	アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン	/mnt/d/yu28s/Music/アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン/ノラと皇女と野良猫ハート　2　特典ディスク/2-01 クライングハート(デアイリス・ディセンバ―・アンクライ、ノエル.mp3	255
双炎の肖像	イサミ・アオ(CV：鈴木崚汰)、ルイス・スミス(CV：阿座上洋平)	/mnt/d/yu28s/Music/music_centor/ブレイバーン(CV.鈴村健一)_イサミ・アオ(CV.鈴木崚汰)_ルイス・スミス(CV.阿座上洋平)/TVアニメ「勇気爆発バーンブレイバーン」 ババーンと推参！バーンブレイバーン_双炎の肖像/02-双炎の肖像.mp4	274
uni-verse	オーイシマサヨシ	/mnt/d/yu28s/Music/music_centor/オーイシマサヨシ/ギフト/02-uni-verse.mp4	272
インパーフェクト	オーイシマサヨシ	/mnt/d/yu28s/Music/music_centor/オーイシマサヨシ/インパーフェクト/1-01 インパーフェクト.mp4	228
GIFT	カサンドラ	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-05 GIFT.mp3	464
超!最強!ウォーリアーズ	サイキックラバー	/mnt/d/yu28s/Music/music_centor/サイキックラバー/TVアニメ爆丸バトルブローラーズ ニューヴェストロイアオープニングテーマ「超!最/1-01 超!最強!ウォーリアーズ.mp4	238
声なき魚 (新川崎(仮))	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/04-声なき魚 (新川崎(仮)).mp4	181
空の箱 (井芹仁菜、河原木桃香)	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/03-空の箱 (井芹仁菜、河原木桃香).mp4	184
空白とカタルシス	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/07-空白とカタルシス.mp4	190
運命の華	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/08-運命の華.mp4	196
SAVIOR OF SONG(feat.MY FIRST STORY)	ナノ	/mnt/d/yu28s/Music/music_centor/ナノ/TVアニメーション「蒼き鋼のアルペジオ -アルス・ノヴァ-」OPテーマ SAVI/1-01 SAVIOR OF SONG(feat.MY FIRST ST.mp4	247
KEMURIKUSA	ナノ	/mnt/d/yu28s/Music/music_centor/ナノ_/KEMURIKUSA_/1-01 KEMURIKUSA_.mp4	248
野良猫ハート パトリシア・オプ・エンドVer.	パトリシア・オブ・エンド(CV:小鳥居夕花)	/mnt/d/yu28s/Music/music_centor/Compilations/ノラと皇女と野良猫ハート Original Sound Track _Open/3-06 野良猫ハート パトリシア・オプ・エンドVer..mp3	258
野良猫ハート	パトリシア・オブ・エンド(CV:小鳥居夕花) ,黒木未知(CV:遥そら) ,夕莉シャチ(CV:神代岬) ,明日原ユウキ(CV:桐谷華)	/mnt/d/yu28s/Music/music_centor/Compilations/ノラと皇女と野良猫ハート Original Sound Track _Open/3-01 野良猫ハート.mp3	258
ババーンと推参！バーンブレイバーン	ブレイバーン(CV：鈴村健一)	/mnt/d/yu28s/Music/music_centor/ブレイバーン(CV.鈴村健一)_イサミ・アオ(CV.鈴木崚汰)_ルイス・スミス(CV.阿座上洋平)/TVアニメ「勇気爆発バーンブレイバーン」 ババーンと推参！バーンブレイバーン_双炎の肖像/01-ババーンと推参！バーンブレイバーン.mp4	217
最高速 Fall in Love	ミーア、パピ、セントレア、スー、メロ、ラクネラ	/mnt/d/yu28s/Music/music_centor/ミーア、パピ、セントレア、スー、メロ、ラクネラ/最高速 Fall in Love/01-最高速 Fall in Love.mp4	230
MooN LighT	ユウ(涼貴涼)	/mnt/d/yu28s/Music/music_centor/Compilations/Re_LieF ～DeaR YoU～ OriginaL SounD TracK/2-17 MooN LighT.mp3	305
Ubiquitous dB	ユナ (CV:神田沙也加)	/mnt/d/yu28s/Music/music_centor/梶浦 由記/劇場版 ソードアート・オンライン -オーディナル・スケール- Original/1-51 Ubiquitous dB.mp4	288
ワルキューレはあきらめない	ワルキューレ	/mnt/d/yu28s/Music/music_centor/ワルキューレ/「劇場版マクロスΔ 絶対LIVE!!!!!!」ボーカルソング集 Walkure/1-09 ワルキューレはあきらめない.mp4	305
ワルキューレがとまらない	ワルキューレ/(美雲ΔJUNNA/フレイアΔ鈴木 みのり/カナメΔ安野 希世乃/レイナΔ東山 奈央/マキナΔ西田 望見)	/mnt/d/yu28s/Music/music_centor/ワルキューレ/「マクロスΔ」レアトラック集 ワルキューレがとまらない/1-08 ワルキューレがとまらない.mp4	320
Fluorite Eye's Song	ヴィヴィ(Vo.八木海莉)	/mnt/d/yu28s/Music/music_centor/ヴィヴィ(Vo.八木海莉)/Fluorite Eye's Song/1-01 Fluorite Eye's Song.mp4	345
My Code	ヴィヴィ(Vo.八木海莉)	/mnt/d/yu28s/Music/music_centor/Various Artists/Vivy -Fluorite Eye's Song- Vocal Collection ～Sing for Your Smile～/03-My Code.mp4	271
空色デイズ	中川 翔子	/mnt/d/yu28s/Music/music_centor/中川 翔子/空色デイズ/1-01 空色デイズ.mp4	254
Marine SNOW	亜咲花	/mnt/d/yu28s/Music/music_centor/亜咲花/Eternal Star(TVアニメ「ISLAND」EDテーマ)/02-Marine SNOW.mp4	266
夏夢ノイジー	亜咲花	/mnt/d/yu28s/Music/music_centor/亜咲花/夏夢ノイジー/01-夏夢ノイジー.mp4	256
Eternal Star	亜咲花	/mnt/d/yu28s/Music/music_centor/亜咲花_/Eternal Star(TVアニメ「ISLAND」EDテーマ)_/1-01 Eternal Star_.mp4	264
BLAZE MOMENT～紅蓮浄歌～	佐咲紗花	/mnt/d/yu28s/Music/music_centor/佐咲紗花/Daybreaker/1-02 BLAZE MOMENT～紅蓮浄歌～.mp4	202
Golden Mission	佐咲紗花	/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ COMPLETE SOUNDTRACK/1-01 Golden Mission.mp3	247
メッセージ	佐咲紗花	/mnt/d/yu28s/Music/music_centor/Compilations/かけぬけ★青春スパーキング! コンプリートサウンドトラック [Disc 2]/2-15 メッセージ.m4a	275
天翔ケル蝋ノ翼、狂イ哭キテ焔ニ堕ツ	佐咲紗花	/mnt/d/yu28s/Music/music_centor/Compilations/シルヴァリオ トリニティ オリジナルサウンドトラック「航界記」 [Disc 2]/2-01 天翔ケル蝋ノ翼、狂イ哭キテ焔ニ堕ツ.mp3	234
フカンゼンyouth	佐藤アスカ	/mnt/d/yu28s/Music/music_centor/Compilations/かけぬけ★青春スパーキング! コンプリートサウンドトラック [Disc 1]/1-17 フカンゼンyouth.m4a	249
ギミー!レボリューション	内田真礼	/mnt/d/yu28s/Music/music_centor/内田真礼/ギミー!レボリューション 通常盤/01-ギミー!レボリューション.mp4	236
Long shot	前島麻由	/mnt/d/yu28s/Music/前島麻由/TVアニメ「Re_ゼロから始める異世界生活」2nd season 後期オープニングテーマ「Long shot」/01-Long shot.mp4	255
躍動	坂本 真綾	/mnt/d/yu28s/Music/music_centor/坂本 真綾/独白→躍動 _FGO盤_/02-躍動.mp4	250
野良猫ハート 夕莉シャチVer.	夕莉シャチ(CV:神代岬)	/mnt/d/yu28s/Music/music_centor/Compilations/ノラと皇女と野良猫ハート Original Sound Track _Open/3-08 野良猫ハート 夕莉シャチVer..mp3	258
Utopia or Dystopia	夢乃ゆき	/mnt/d/yu28s/Music/夢乃ゆき & 綾瀬理恵/Utopia or Dystopia _ 再会系女子はどうすりゃいいですか？/01-Utopia or Dystopia.mp4	191
Zillion Zest	大島はるな	/mnt/d/yu28s/Music/music_centor/大島はるな/Zillion Zest _ I miss you/1-01 Zillion Zest.mp4	219
BEYOND	安月名莉子	/mnt/d/yu28s/Music/ゆずソフトSOUR/PARQUET オリジナルサウンドトラック/01 BEYOND.m4a	246
Even...if (English Ver.)	山田タマル	/mnt/d/yu28s/Music/music_centor/山田タマル/Operation Able/1-02 Even...if (English Ver.).mp4	258
IMAGINARY LIKE THE JUSTICE	島爺	/mnt/d/yu28s/Music/music_centor/島爺/G7/01-IMAGINARY LIKE THE JUSTICE.mp4	267
レジリエンス	彩音	/mnt/d/yu28s/Music/music_centor/彩音/レジリエンス(ゲーム「メモリーズオフ -Innocent Fille-」オープニ/1-01 レジリエンス.mp4	257
